"source","File","ROI","Frame","Intensity","Lifetime","Time"
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",28,619.89,3.03808441162109,405
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",28,529.28,3.16672668457031,405
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",28,567.76,3.10001983642578,405
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",28,132.28,3.03067321777344,405
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",29,401.05,2.99555053710937,420
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",29,621.11,3.03609161376953,420
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",29,531.89,3.17243041992187,420
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",29,570.43,3.09942932128906,420
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",29,133.02,3.01436462402344,420
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",30,399.26,3.00337371826172,435
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",30,617.89,3.02989501953125,435
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",30,531.84,3.17188262939453,435
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",30,567.75,3.10799560546875,435
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",30,132.4,3.00853881835937,435
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",31,398.88,2.99227752685547,450
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",31,618.31,3.02826080322266,450
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",31,533.97,3.18858032226562,450
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",31,570.02,3.08910522460937,450
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",31,132.71,3.03018493652344,450
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",32,396.9,3.00986328125,465
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",32,614.95,3.02194519042969,465
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",32,532.44,3.19055633544922,465
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",32,565.83,3.09666900634766,465
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",32,130.97,3.01201934814453,465
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",33,397.59,2.99722137451172,480
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",33,615.83,3.01404724121094,480
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",33,534.98,3.17545166015625,480
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",33,569.19,3.096826171875,480
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",33,132.1,3.02611694335937,480
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",34,397.1,2.98344268798828,495
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",34,614.56,3.0232666015625,495
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",34,533.82,3.18263549804688,495
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",34,565.98,3.08710174560547,495
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",34,131.28,3.01718597412109,495
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",35,391.33,3.01003875732422,510
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",35,610.71,3.02284240722656,510
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",35,533.2,3.18311309814453,510
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",35,565.45,3.08302459716797,510
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",35,131.51,3.00036163330078,510
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",36,388.19,2.99957733154297,525
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",36,610.86,3.02257843017578,525
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",36,534.19,3.16153106689453,525
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",36,566.62,3.0969482421875,525
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",36,131.94,3.01711273193359,525
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",37,383.86,2.983837890625,540
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",37,607.48,3.00407104492187,540
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",37,530.98,3.16690826416016,540
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",37,565,3.084814453125,540
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",37,131.04,3.04871520996094,540
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",38,383.87,2.96766357421875,555
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",38,608.92,3.01945495605469,555
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",38,531.13,3.17368316650391,555
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",38,565.04,3.07848663330078,555
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",38,131.5,2.98271331787109,555
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",39,380.89,2.96128082275391,570
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",39,608.77,3.00146942138672,570
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",39,527.19,3.16737518310547,570
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",39,561.44,3.08619079589844,570
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",39,129.97,3.00129547119141,570
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",40,380.76,2.95997009277344,585
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",40,611.13,3.00701751708984,585
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",40,529.11,3.1618408203125,585
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",40,563.92,3.08737030029297,585
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",40,130.58,2.99955139160156,585
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",41,377.52,2.95387573242188,600
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",41,609.72,3.01678619384766,600
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",41,526.95,3.16051177978516,600
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",41,560.92,3.07329406738281,600
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",41,129.8,3.02763977050781,600
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",42,379.1,2.94711151123047,615
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",42,612.21,3.00546569824219,615
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",42,528.7,3.15994873046875,615
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",42,564.64,3.07639007568359,615
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",42,130.94,3.00167388916016,615
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",43,376.75,2.93879547119141,630
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",43,608.72,3.00500946044922,630
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",43,526.12,3.15261383056641,630
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",43,561.28,3.07601623535156,630
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",43,130.31,2.98255615234375,630
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",44,377.82,2.94522399902344,645
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",44,608.47,3.01491851806641,645
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",44,525.82,3.14332733154297,645
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",44,563.57,3.06755218505859,645
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",44,131.37,3.01185913085938,645
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",45,374.81,2.95618286132812,660
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",45,606.88,2.99737854003906,660
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",45,522.94,3.14875640869141,660
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",45,561.1,3.05548858642578,660
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",45,131.31,3.00635986328125,660
